ClusterID	Naam	Centrum	Gebruiker	ChangeDate	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
1	 	123	123456											
2	Vlaamse Ardennen	VAD	VADVDV	2009-03-09 13:44:52	9620	9600	9500	9660	9630	9700	9550	9570	9680	9770
7	Hageland	VAD	VADVDV	2009-03-09 13:46:56	3290	3200	3300	3270	0	0	0	0	0	0
8	samenwerking EKASI	AAL	AALINA	2009-03-25 14:35:23	9880	9910	9990	9900	9970	9980	0	0	0	0
9	Interlokale Vereniging West Meetjesland	AAL	AALINA	2009-03-25 14:44:48	9880	9910	9990	0	0	0	0	0	0	0
10	samenwerking Drugpunt	AAL	AALINA	2009-03-25 14:45:35	9880	9910	9990	9800	9870	9830	9840	9810	0	0
11	samenwerking ELZA	AAL	AALINA	2009-03-25 15:03:17	9880	9910	9990	9940	9080	9060	9960	0	0	0
12	Meetjesland	AAL	AALINA	2009-03-25 15:06:30	9880	9910	9990	9900	9980	9970	9940	9960	9920	9930
13	West-Limburg	VAD	VADJRO	2009-03-30 10:42:38	3580	3550	3545	3945	3540	3980	0	0	0	0
14	AKM	VAD	VADJRO	2009-03-31 14:27:39	9880	9910	9990	0	0	0	0	0	0	0
15	WELZIJNSREGIO NOORD-LIMBURG	CAD	CADKJA	2009-04-01 14:31:08	3910	3900	3990	3670	3920	3930	3950	3940	0	0
16	JAC LOMMEL	CAD	CADKJA	2009-04-01 14:55:04	3920	3910	3900	3670	3950	3940	3930	3960	3990	0
18	REGIO NOORD-LIMBURG	CAD	CADKJA	2009-04-01 15:59:53	3910	3990	3900	3670	3930	3920	3950	0	0	0
19	WEST LIMBURG	CAD	CADKKE	2009-04-02 13:33:36	3580	3550	3545	3945	3980	3970	0	0	0	0
20	maasland	CAD	CADKBO	2009-04-06 09:56:46	3640	3680	3630	3650	3620	0	0	0	0	0
21	KBVB WEST LIMBURG	CAD	CADKKE	2009-04-09 13:24:07	3580	3970	3945	3980	3540	3550	3545	3560	0	0
22	KLM	AHA	AHALDR	2009-04-27 10:57:33	1880	1840	1860	0	0	0	0	0	0	0
23	DSZ	DIE	DIEDME	2009-04-27 10:58:02	3290	3270	0	0	0	0	0	0	0	0
25	KASTZE	AHA	AHAADI	2009-04-27 10:58:26	1910	1820	1980	0	0	0	0	0	0	0
26	Maasland	VAD	VADJRO	2010-01-06 10:18:17	3630	3680	3620	0	0	0	0	0	0	0
27	Regionale welzijnscommissie Oostende	VAD	VADJRO	2009-05-06 10:03:19	8400	8470	8460	8420	8450	8430	8480	0	0	0
30	Klein Brabant	MEC	MECPAE	2009-05-25 15:30:59	2880	2870	2890	0	0	0	0	0	0	0
31	ROM	MEC	MECPAE	2009-05-25 15:31:50	2800	2500	2220	2850	0	0	0	0	0	0
33	regio Leuven + Provincie + intergemeentelijke prev	TIE	TIEBVG	2009-06-17 13:23:16	3000	3300	3290	0	0	0	0	0	0	0
34	regio drugpunt	CAT	CATANS	2009-06-22 11:08:45	9800	9870	9810	9840	9830	0	0	0	0	0
35	Regio Lokeren-Berlare-Zele	CAT	CATANS	2010-07-05 13:58:30	9290	9240	9160	0	0	0	0	0	0	0
36	Regio AKM	CAT	CATANS	2009-06-22 11:27:01	9880	9910	9990	0	0	0	0	0	0	0
37	Regio Rhode&Schelde	CAT	CATANS	2009-06-22 11:28:47	9090	9820	9070	0	0	0	0	0	0	0
38	Regio Elza	CAT	CATANS	2009-06-22 11:29:47	9940	9960	9060	9080	0	0	0	0	0	0
39	regio EEKASI	CAT	CATANS	2009-06-22 11:30:28	9900	9970	9980	0	0	0	0	0	0	0
40	Regio Wetteren_Laarne_Wichelen	CAT	CATANS	2009-06-22 11:31:11	9230	9270	9260	0	0	0	0	0	0	0
41	Regio INDRA	CAT	CATANS	2009-06-22 12:08:56	9300	9420	9340	9450	9470	0	0	0	0	0
42	Aalter Knesselare	CAT	CATANS	2009-06-22 14:01:21	9880	9910	0	0	0	0	0	0	0	0
43	RWO regio Sint Niklaas	CAT	CATANS	2009-06-22 15:18:30	9100	9160	9120	9170	9190	9150	9140	9250	0	0
44	Halle-Vilvoorde	AHA	AHALDR	2009-07-08 09:30:16	1500	1800	1730	0	0	0	0	0	0	0
45	Brussel-Halle-Vilvoorde	AHA	AHALDR	2009-07-08 11:05:52	1000	1500	1800	1730	0	0	0	0	0	0
46	MIdden en Zuid- West-Vlaanderen	LAR	LARTHU	2009-07-10 08:15:28	8500	8800	0	0	0	0	0	0	0	0
47	Ternat-Roosdaal-Asse-Affligem	AHA	AHALDR	2009-07-13 16:35:23	1740	1760	1730	1790	0	0	0	0	0	0
49	Brussels Gewest	VAD	VADMDB	2009-07-28 15:05:15	1000	1070	1040	1140	1090	1160	1030	1170	1083	1080
50	Intergemeentelijke samenwerking Zele-Berlare	DEL	DELILE	2009-08-03 10:15:39	9290	9240	0	0	0	0	0	0	0	0
51	Regio Waas en Dender	DEL	DELILE	2009-08-03 10:36:02	0	0	0	0	0	0	0	0	0	0
52	Intergmeentelijk St-Niklaas - Beveren	DEL	DELILE	2009-08-03 11:50:47	9120	9100	0	0	0	0	0	0	0	0
53	zorgregio VAGGA Ketsstraat	ALT	ALTJDS	2009-08-05 16:13:28	2000	2930	2970	2390	2640	2110	2070	2960	2950	2910
54	Regio Waasland	DEL	DELTDB	2009-08-07 14:53:45	0	0	0	0	0	0	0	0	0	0
55	Vilvoorde en rand	AHA	AHALDR	2009-08-10 13:51:22	1800	1980	1880	1850	1830	1820	1910	0	0	0
56	Asse en rand	AHA	AHALDR	2009-08-10 16:44:39	1730	1780	1745	1700	1785	1790	1740	0	0	0
57	ECAT Sint-Niklaas & Dendermonde	DEL	DELILE	2009-08-25 16:22:30	9200	9100	0	0	0	0	0	0	0	0
58	RWR Ieper	NWV	NWVNVM	2010-02-01 10:47:28	0	0	0	0	0	0	0	0	0	0
59	Rhode en Schelde	KIE	KIEMEE	2009-10-13 13:40:31	9090	9820	9070	0	0	0	0	0	0	0
60	Pajottenland	AHA	AHALDR	2009-10-21 12:30:37	1755	1570	1547	1540	1670	1750	0	0	0	0
61	Faciliteitengemeenten (PW Haviland)	AHA	AHALDR	2009-10-30 14:59:24	1780	1950	1970	1620	1630	0	0	0	0	0
62	KASTZE	KAS	KASJVV	2009-11-26 10:26:52	1980	1910	1820	0	0	0	0	0	0	0
65	haviland	HAV	HAVHHE	2010-12-06 10:46:39	1620	1630	1950	1970	1780	0	0	0	0	0
66	intergemeentelijke drugpreventie Gooik	GOO	GOOBVR	2010-01-15 19:08:52	1570	1540	1755	1547	1670	1750	0	0	0	0
68	groot leuven	LEU	LEUABO	2009-11-26 10:40:37	3140	3110	3150	3190	3130	3120	3000	3360	3070	0
69	hageland	LEU	LEUABO	2009-11-26 10:43:51	3290	3460	3390	3450	3270	3470	3200	3300	0	0
71	Regio Mechelen	MEC	MECPAE	2009-12-22 13:01:10	2800	0	0	0	0	0	0	0	0	0
72	Regio Antwerpen/Mechelen	MEC	MECPAE	2009-12-22 13:02:32	0	0	0	0	0	0	0	0	0	0
73	Regio Mechelen/Turnhout	MEC	MECPAE	2009-12-22 13:02:58	0	0	0	0	0	0	0	0	0	0
74	BODUKAP	MEC	MECPAE	2009-12-22 13:05:45	2820	2570	2860	2580	0	0	0	0	0	0
75	Rupel	MEC	MECPAE	2009-12-22 13:06:38	2850	2627	2845	2840	2620	0	0	0	0	0
76	Halle-Vilvoorde	VAD	VADJRO	2010-01-06 10:17:02	1500	1650	1700	1730	1800	1930	3090	1640	1600	1670
77	Regio Oostende	NWV	NWVNVM	2010-01-11 11:57:09	8400	8470	8450	8430	0	0	0	0	0	0
78	politiezone spoorkin	NWV	NWVNVM	2010-01-11 12:24:35	8630	8690	8647	0	0	0	0	0	0	0
79	kust	NWV	NWVRDV	2010-01-11 14:27:33	8450	8000	8400	8430	8660	8420	8370	8670	8620	0
80	Interlokale vereniging drugpreventie Noord-Pajot	VLB	VLBRRE	2010-01-11 15:35:11	1730	1790	1760	1740	0	0	0	0	0	0
83	Interlokale vereniging drugpreventie Pajottenland	VLB	VLBRRE	2010-01-11 15:37:13	1755	1570	1547	1540	1750	1670	0	0	0	0
86	Interlokale vereniging drugpreventie Haacht-Bo-Kee	VLB	VLBRRE	2010-01-11 15:38:55	3150	3190	3140	0	0	0	0	0	0	0
87	Interlokale vereniging drugpreventie Haviland	VLB	VLBRRE	2010-01-11 15:40:13	1780	1950	1970	1620	1630	0	0	0	0	0
88	Interlokale vereniging drugpreventie KASTZE	VLB	VLBRRE	2010-01-11 15:42:38	1980	1910	1820	0	0	0	0	0	0	0
89	Interlokale vereniging drugpreventie BRT	VLB	VLBRRE	2010-01-11 15:45:53	3130	3110	3120	0	0	0	0	0	0	0
90	ACV Gent-Eeklo	CAT	CATRUG	2010-01-11 16:17:04	9000	9900	9800	0	0	0	0	0	0	0
91	Regionaal Overleg Drugs Mechelen	PDM	PDMIDM	2010-01-13 14:58:39	2800	2850	2500	2220	0	0	0	0	0	0
92	Aalter-Knesselare	AAL	AALPDE	2010-01-15 09:14:02	9880	9910	0	0	0	0	0	0	0	0
93	Regionaal Overleg Mechelen 8/1/2009	LIE	LIEJGA	2010-01-21 17:05:14	2850	2500	2220	2800	0	0	0	0	0	0
94	CGG-regio Antwerpen - De Pont	VAD	VADMCL	2010-02-21 13:53:00	2500	2800	2850	0	0	0	0	0	0	0
95	Regionaal Overleg Drugpreventie 20/4/2009	LIE	LIEJGA	2010-01-21 17:06:04	2850	2500	2800	2220	0	0	0	0	0	0
96	Regionaal Overleg Drugpreventie 13/7/2009	LIE	LIEJGA	2010-01-21 17:07:00	2850	2500	2800	2220	0	0	0	0	0	0
97	Regionaal Overleg Drugpreventie 16/12/2009	LIE	LIEJGA	2010-01-21 17:07:49	2850	2800	2500	2220	0	0	0	0	0	0
98	Regio Brugge	LAR	LARIHI	2010-01-28 10:33:22	8000	8210	8020	8730	8300	8300	0	0	0	0
99	RWR Veurne-Diksmuide	NWV	NWVNVM	2010-02-01 10:47:14	8630	8600	8610	8680	8650	8690	8647	8620	8670	8660
100	zorgregio Roeselare	LAR	LARTHU	2010-02-01 13:45:41	8870	8800	8760	8850	8740	8755	8750	8810	8780	8770
101	Halle-Vilvoorde	HAV	HAVHHE	2010-12-06 10:46:50	0	0	0	0	0	0	0	0	0	0
102	Waasland	VAD	VADMCL	2010-02-09 16:05:13	9100	0	0	0	0	0	0	0	0	0
103	CGG-regio Middelpunt	VAD	VADMCL	2010-02-21 13:49:46	0	0	0	0	0	0	0	0	0	0
104	CGG-regio VAGGA-Altox	VAD	VADMCL	2010-02-21 13:50:07	0	0	0	0	0	0	0	0	0	0
105	CGG-regio Gent	VAD	VADMCL	2010-02-21 13:50:24	0	0	0	0	0	0	0	0	0	0
106	CGG-regio Limburg	VAD	VADMCL	2010-02-21 13:50:39	0	0	0	0	0	0	0	0	0	0
107	CGG-regio Asse-Vilvoorde	VAD	VADMCL	2010-02-21 13:50:58	0	0	0	0	0	0	0	0	0	0
108	CGG-regio Leuven	VAD	VADMCL	2010-02-21 13:51:11	0	0	0	0	0	0	0	0	0	0
109	CGG-regio Sint-Niklaas	VAD	VADMCL	2010-02-21 13:51:23	0	0	0	0	0	0	0	0	0	0
110	CGG-regio Brussel	VAD	VADMCL	2010-02-21 13:51:41	0	0	0	0	0	0	0	0	0	0
111	CGG-regio Turnhout	VAD	VADMCL	2010-02-21 13:51:50	0	0	0	0	0	0	0	0	0	0
113	haacht	LEU	LEUABO	2010-03-24 09:14:49	3140	3150	3190	0	0	0	0	0	0	0
114	brt	LEU	LEUABO	2010-03-24 09:15:16	3130	3110	3120	0	0	0	0	0	0	0
115	haviland	LEU	LEUABO	2010-03-24 09:16:09	1950	1970	1630	1620	1780	0	0	0	0	0
116	kastze	LEU	LEUABO	2010-03-24 09:16:44	1910	1820	1980	0	0	0	0	0	0	0
117	pajottenland	LEU	LEUABO	2010-03-24 09:17:41	1547	1570	1540	1755	1750	1670	0	0	0	0
118	tarl	LEU	LEUABO	2010-03-24 09:18:36	1760	1740	1790	1730	0	0	0	0	0	0
119	Drugpunt-regio	DEI	DEIFCL	2010-03-26 12:11:01	9800	9870	9840	9830	9810	0	0	0	0	0
120	Regio Turnhout	MEA	MEAEVE	2010-07-05 10:31:33	2360	2300	2460	2380	0	0	0	0	0	0
121	Regio Geel	MEA	MEAEVE	2010-07-05 10:33:31	2440	2260	2250	2430	2450	0	0	0	0	0
122	Regio Mol	MEA	MEAEVE	2010-07-05 10:34:41	2490	2400	2470	2480	0	0	0	0	0	0
123	Regio Herentals	MEA	MEAEVE	2010-07-05 10:36:40	2200	2270	2280	0	0	0	0	0	0	0
