SubOrgID	Naam	OrgID	ChangeDate	Centrum	Gebruiker
1	 	1	2008-01-01 00:00:00	123	123456
9	IT departement	20	2009-03-11 10:06:08	VAD	VADVDV
11	Werkgroep consultoverleg	26	2008-06-19 14:56:02	AAL	AALINA
12	VI minderjarigen	27	2008-06-19 15:08:00	AAL	AALINA
13	VI meerderjarigen	27	2008-06-19 15:08:11	AAL	AALINA
14	VI ouderconsult	27	2008-06-19 15:08:27	AAL	AALINA
15	Werkgroep preventie intervisie	26	2008-06-19 15:10:55	AAL	AALINA
16	Provinciale werkgroep lokaal drugoverleg	28	2008-06-19 15:13:38	AAL	AALINA
17	MEGA	29	2008-06-19 15:14:59	AAL	AALINA
18	Ginger	30	2008-06-19 15:16:49	AAL	AALINA
19	project Benzo's	31	2008-06-19 15:18:43	AAL	AALINA
20	Jongerengroep Vroeginterventie	34	2008-06-25 11:12:08	ALT	ALTJDS
21	PPM Prov.Prev.Middelengebruik	35	2008-07-10 14:07:39	VAD	VADMDB
22	Werkgroep vroeginterventie	26	2008-07-10 14:25:10	AAL	AALINA
23	Preventieteam	20	2008-07-10 14:32:51	VAD	VADMDB
24	Overleg steunpunt	26	2008-07-14 14:00:36	AAL	AALINA
25	opleidingen Linsey	37	2008-07-14 15:15:58	AAL	AALINA
26	opleidingen walter	37	2010-01-22 09:08:22	AAL	AALWVV
27	opleidingen beiden	37	2008-07-14 15:16:18	AAL	AALINA
28	Middenschool	38	2008-07-14 15:26:19	AAL	AALINA
29	Bovenbouw	38	2008-07-14 15:26:29	AAL	AALINA
30	Middenschool	41	2008-07-14 15:59:34	AAL	AALINA
31	Bovenbouw	41	2008-07-14 15:59:44	AAL	AALINA
32	Lokaal overleg - Aalter, Knesselare	42	2008-07-14 16:10:00	AAL	AALINA
33	Lokaal overleg - Maldegem	42	2008-07-14 16:10:09	AAL	AALINA
34	Lokaal overleg - gezamenlijk	42	2008-07-14 16:10:19	AAL	AALINA
38	Coördinatievergaderingen	48	2008-07-22 14:39:02	AAL	AALINA
39	project Jeugdadviseurs	49	2008-07-28 15:22:20	AAL	AALINA
40	Beheerscomité	42	2008-07-31 11:58:36	AAL	AALINA
41	Studiedag pubers anno ...	50	2008-07-31 13:12:22	AAL	AALINA
42	Stevig op de werkvloer	50	2008-07-31 13:19:02	AAL	AALINA
43	Kwartaalbespreking	52	2008-07-31 13:33:34	AAL	AALINA
44	Rockoekoe	53	2008-07-31 13:53:35	AAL	AALINA
45	PREVENTIEAMBTENAAR 	56	2009-04-01 11:59:51	CAD	CADKJA
47	Werkgroep gokken	20	2008-09-12 15:32:36	VAD	VADMDB
48	Werkgroep Casselman	35	2008-09-12 15:46:22	VAD	VADMDB
49	Werkgroep Consult	20	2008-09-22 09:12:59	VAD	VADMDB
50	Overleg preventie en minderheidsgroepen	61	2008-09-22 09:28:30	VAD	VADMDB
55	B-team	70	2009-01-30 11:24:43	AAL	AALINA
56	Werkgroep gezondheid	41	2009-01-30 11:51:06	AAL	AALINA
57	Oudervereniging	41	2009-01-30 11:59:35	AAL	AALINA
58	Kwaliteitsdenkgroep	72	2009-01-30 12:06:30	AAL	AALINA
60	Werkgroep TAD	64	2009-03-03 14:05:11	VAD	VADIDM
61	Opleiding Peter	37	2009-03-05 13:57:13	AAL	AALPDE
63	Drugpreventie	75	2009-03-17 13:49:23	VAD	VADJRO
64	Sociale politie	29	2009-03-25 11:39:59	AAL	AALINA
65	Andere	70	2009-03-25 13:59:51	AAL	AALINA
66	WG Drugbeleid	76	2009-03-25 14:15:40	AAL	AALINA
67	Coördinatievergaderingen	72	2009-03-25 14:22:34	AAL	AALINA
